city_name,state_id,lat,lng
Atlanta,GA,33.7576857254902,-84.43210376470589
Baltimore,MD,39.313733129496406,-76.62223446043166
Boston,MA,42.33378692307693,-71.07967153846154
Chicago,IL,41.83641086419753,-87.6747287654321
Dallas,TX,32.81440482993197,-96.77224013605442
Denver,CO,39.72204625,-104.967075625
Detroit,MI,42.387510765306125,-83.10835464285714
Houston,TX,29.756217840909088,-95.3947884090909
Las Vegas,NV,36.218976420664205,-115.24503099630996
Los Angeles,CA,34.075141156462585,-118.35599632653062
Miami,FL,25.791022589285713,-80.20970723214285
Minneapolis,MN,44.96509206896552,-93.2688159770115
New York,NY,40.70667491525424,-73.9446873898305
Philadelphia,PA,40.00159236486486,-75.14221141891892
Phoenix,AZ,33.54142736842105,-112.09112789473683
Portland,OR,45.52087106557377,-122.64863721311475
Riverside,CA,33.9410524137931,-117.39930172413793
Sacramento,CA,38.58233307692308,-121.46378953846154
San Antonio,TX,29.51410967032967,-98.53043013186813
San Diego,CA,32.81730913793103,-117.14027793103449
San Francisco,CA,37.758589743589745,-122.43532794871795
Seattle,WA,47.62082762376237,-122.33225128712871
St. Louis,MO,38.63331522727273,-90.24787113636363
Tampa,FL,27.98120725,-82.455283
Washington,DC,38.91000422535211,-77.00777140845071